#,MM:DD:YYYY,HH:MM:SS,PM1.0,PM2.5,PM10.0,TVOC(ppb),CO2(ppm)
414, 1/ 1/2000, 6:58: 0 AM,3,3,3,400,1066
415, 1/ 1/2000, 6:59: 0 AM,1,2,2,388,1015
416, 1/ 1/2000, 7: 0: 0 AM,1,2,2,407,991
417, 1/ 1/2000, 7: 1: 0 AM,2,3,3,494,1597
418, 1/ 1/2000, 7: 2: 0 AM,2,3,3,482,1522
419, 1/ 1/2000, 7: 3: 0 AM,3,3,3,486,1525
420, 1/ 1/2000, 7: 4: 0 AM,2,2,4,498,1558
421, 1/ 1/2000, 7: 5: 0 AM,2,2,2,499,1626
422, 1/ 1/2000, 7: 6: 0 AM,1,2,2,498,1631
423, 1/ 1/2000, 7: 7: 0 AM,1,2,2,491,1556
424, 1/ 1/2000, 7: 8: 0 AM,1,2,2,491,1558
425, 1/ 1/2000, 7: 9: 0 AM,1,1,3,514,1626
426, 1/ 1/2000, 7:10: 0 AM,1,1,3,494,1580
427, 1/ 1/2000, 7:11: 0 AM,0,1,1,480,1521
428, 1/ 1/2000, 7:12: 0 AM,1,2,2,485,1549
429, 1/ 1/2000, 7:13: 0 AM,1,2,2,485,1523
430, 1/ 1/2000, 7:14: 0 AM,1,1,1,478,1515
431, 1/ 1/2000, 7:15: 0 AM,1,1,1,477,1511
432, 1/ 1/2000, 7:16: 0 AM,1,2,3,476,1426
433, 1/ 1/2000, 7:17: 0 AM,2,3,3,487,1471
434, 1/ 1/2000, 7:18: 0 AM,2,2,2,474,1470
435, 1/ 1/2000, 7:19: 0 AM,2,3,3,464,1387
436, 1/ 1/2000, 7:20: 0 AM,2,3,3,483,1466
437, 1/ 1/2000, 7:21: 0 AM,2,2,2,482,1455
438, 1/ 1/2000, 7:22: 0 AM,3,4,6,471,1413
439, 1/ 1/2000, 7:23: 0 AM,1,1,1,455,1400
440, 1/ 1/2000, 7:24: 0 AM,1,2,2,465,1370
441, 1/ 1/2000, 7:25: 0 AM,1,1,1,462,1338
442, 1/ 1/2000, 7:26: 0 AM,1,1,1,456,1358
443, 1/ 1/2000, 7:27: 0 AM,1,2,2,448,1368
444, 1/ 1/2000, 7:28: 0 AM,0,1,1,464,1397
445, 1/ 1/2000, 7:29: 0 AM,2,2,6,446,1300
446, 1/ 1/2000, 7:30: 0 AM,2,2,6,440,1223
447, 1/ 1/2000, 7:31: 0 AM,2,2,2,433,1243
448, 1/ 1/2000, 7:32: 0 AM,1,1,1,450,1281
449, 1/ 1/2000, 7:33: 0 AM,2,2,2,430,1229
450, 1/ 1/2000, 7:34: 0 AM,1,1,3,442,1240
451, 1/ 1/2000, 7:35: 0 AM,2,2,2,437,1227
452, 1/ 1/2000, 7:36: 0 AM,2,2,2,427,1165
453, 1/ 1/2000, 7:37: 0 AM,1,1,1,427,1194
454, 1/ 1/2000, 7:38: 0 AM,1,2,2,433,1293
455, 1/ 1/2000, 7:39: 0 AM,1,1,1,414,1161
456, 1/ 1/2000, 7:40: 0 AM,2,2,2,429,1169
457, 1/ 1/2000, 7:41: 0 AM,3,4,4,420,1169
458, 1/ 1/2000, 7:42: 0 AM,2,2,2,410,1125
459, 1/ 1/2000, 7:43: 0 AM,2,2,2,421,1118
460, 1/ 1/2000, 7:44: 0 AM,2,3,3,415,1130
461, 1/ 1/2000, 7:45: 0 AM,2,2,2,420,1120
462, 1/ 1/2000, 7:46: 0 AM,2,3,3,424,1168
463, 1/ 1/2000, 7:47: 0 AM,2,2,2,425,1178
464, 1/ 1/2000, 7:48: 0 AM,1,2,2,407,1067
465, 1/ 1/2000, 7:49: 0 AM,1,1,1,429,1147
466, 1/ 1/2000, 7:50: 0 AM,1,2,3,398,1058
467, 1/ 1/2000, 7:51: 0 AM,2,2,2,408,1075
468, 1/ 1/2000, 7:52: 0 AM,1,2,2,406,1102
469, 1/ 1/2000, 7:53: 0 AM,2,2,2,392,1065
470, 1/ 1/2000, 7:54: 0 AM,1,2,2,389,1088
471, 1/ 1/2000, 7:55: 0 AM,2,2,2,388,1006
472, 1/ 1/2000, 7:56: 0 AM,1,1,1,396,1040
473, 1/ 1/2000, 7:57: 0 AM,1,2,2,372,977
474, 1/ 1/2000, 7:58: 0 AM,0,1,1,388,986
475, 1/ 1/2000, 7:59: 0 AM,1,1,1,398,967
476, 1/ 1/2000, 8: 0: 0 AM,1,1,4,396,1011
477, 1/ 1/2000, 8: 1: 0 AM,2,3,3,387,1000
478, 1/ 1/2000, 8: 2: 0 AM,2,2,2,382,959
479, 1/ 1/2000, 8: 3: 0 AM,2,2,2,379,978
480, 1/ 1/2000, 8: 4: 0 AM,1,2,2,377,971
481, 1/ 1/2000, 8: 5: 0 AM,1,3,3,385,963
482, 1/ 1/2000, 8: 6: 0 AM,2,2,2,370,918
483, 1/ 1/2000, 8: 7: 0 AM,2,2,2,372,923
484, 1/ 1/2000, 8: 8: 0 AM,1,1,1,386,946
485, 1/ 1/2000, 8: 9: 0 AM,3,3,3,368,958
486, 1/ 1/2000, 8:10: 0 AM,1,2,2,377,945
487, 1/ 1/2000, 8:11: 0 AM,2,2,2,379,972
488, 1/ 1/2000, 8:12: 0 AM,1,2,2,369,911
489, 1/ 1/2000, 8:13: 0 AM,3,3,3,375,934
490, 1/ 1/2000, 8:14: 0 AM,1,2,4,370,904
491, 1/ 1/2000, 8:15: 0 AM,2,2,2,383,937
492, 1/ 1/2000, 8:16: 0 AM,1,2,3,358,856
493, 1/ 1/2000, 8:17: 0 AM,2,2,2,374,934
494, 1/ 1/2000, 8:18: 0 AM,2,3,4,424,1136
495, 1/ 1/2000, 8:19: 0 AM,1,2,2,401,1032
496, 1/ 1/2000, 8:20: 0 AM,1,1,1,350,893
497, 1/ 1/2000, 8:21: 0 AM,2,3,5,357,900
498, 1/ 1/2000, 8:22: 0 AM,1,2,2,394,1080
499, 1/ 1/2000, 8:23: 0 AM,1,2,3,383,1041
500, 1/ 1/2000, 8:24: 0 AM,2,2,3,391,1060
501, 1/ 1/2000, 8:25: 0 AM,2,2,2,364,991
502, 1/ 1/2000, 8:26: 0 AM,2,2,4,359,905
503, 1/ 1/2000, 8:27: 0 AM,2,3,4,353,848
504, 1/ 1/2000, 8:28: 0 AM,3,3,3,337,862
505, 1/ 1/2000, 8:29: 0 AM,2,2,2,350,840
506, 1/ 1/2000, 8:30: 0 AM,1,1,1,352,833
507, 1/ 1/2000, 8:31: 0 AM,2,2,4,335,818
508, 1/ 1/2000, 8:32: 0 AM,2,2,6,335,807
509, 1/ 1/2000, 8:33: 0 AM,3,3,3,345,808
510, 1/ 1/2000, 8:34: 0 AM,2,2,2,345,812
511, 1/ 1/2000, 8:35: 0 AM,1,1,1,342,811
512, 1/ 1/2000, 8:36: 0 AM,1,2,2,345,833
513, 1/ 1/2000, 8:37: 0 AM,2,2,2,348,806
514, 1/ 1/2000, 8:38: 0 AM,1,2,2,352,813
515, 1/ 1/2000, 8:39: 0 AM,2,2,6,347,817
516, 1/ 1/2000, 8:40: 0 AM,2,2,2,353,805
517, 1/ 1/2000, 8:41: 0 AM,2,3,5,345,798
518, 1/ 1/2000, 8:42: 0 AM,2,2,2,334,784
519, 1/ 1/2000, 8:43: 0 AM,2,3,5,352,801
520, 1/ 1/2000, 8:44: 0 AM,2,2,2,315,788
521, 1/ 1/2000, 8:45: 0 AM,3,4,4,333,783
522, 1/ 1/2000, 8:46: 0 AM,2,3,3,346,796
523, 1/ 1/2000, 8:47: 0 AM,2,3,3,336,795
524, 1/ 1/2000, 8:48: 0 AM,2,3,3,356,797
525, 1/ 1/2000, 8:49: 0 AM,1,1,3,387,1067
526, 1/ 1/2000, 8:50: 0 AM,2,3,3,478,1449
527, 1/ 1/2000, 8:51: 0 AM,3,4,6,493,1484
528, 1/ 1/2000, 8:52: 0 AM,2,3,3,445,1292
529, 1/ 1/2000, 8:53: 0 AM,1,2,2,505,1587
530, 1/ 1/2000, 8:54: 0 AM,1,2,2,503,1638
531, 1/ 1/2000, 8:55: 0 AM,1,1,1,511,1663
532, 1/ 1/2000, 8:56: 0 AM,0,1,1,532,1661
533, 1/ 1/2000, 8:57: 0 AM,0,0,0,526,1697
534, 1/ 1/2000, 8:58: 0 AM,0,1,1,514,1638
535, 1/ 1/2000, 8:59: 0 AM,3,4,4,518,1665
536, 1/ 1/2000, 9: 0: 0 AM,1,2,2,492,1499
