#,MM:DD:YYYY,HH:MM:SS,PM1.0,PM2.5,PM10.0,TVOC(ppb),CO2(ppm)
102, 1/ 1/2000, 1:46: 0 AM,2,3,3,352,400
103, 1/ 1/2000, 1:47: 0 AM,2,3,7,339,400
104, 1/ 1/2000, 1:48: 0 AM,3,5,5,339,400
105, 1/ 1/2000, 1:49: 0 AM,2,4,7,332,400
106, 1/ 1/2000, 1:50: 0 AM,2,3,3,349,400
107, 1/ 1/2000, 1:51: 0 AM,2,5,5,348,400
108, 1/ 1/2000, 1:52: 0 AM,4,4,4,311,400
109, 1/ 1/2000, 1:53: 0 AM,3,4,8,330,400
110, 1/ 1/2000, 1:54: 0 AM,2,3,3,321,400
111, 1/ 1/2000, 1:55: 0 AM,3,4,4,307,400
112, 1/ 1/2000, 1:56: 0 AM,3,5,7,295,400
113, 1/ 1/2000, 1:57: 0 AM,3,4,6,309,400
114, 1/ 1/2000, 1:58: 0 AM,4,5,5,299,400
115, 1/ 1/2000, 1:59: 0 AM,3,4,8,307,400
116, 1/ 1/2000, 2: 0: 0 AM,2,3,6,306,400
117, 1/ 1/2000, 2: 1: 0 AM,3,3,5,302,400
118, 1/ 1/2000, 2: 2: 0 AM,3,4,4,282,400
119, 1/ 1/2000, 2: 3: 0 AM,3,4,4,289,400
120, 1/ 1/2000, 2: 4: 0 AM,4,6,7,272,400
121, 1/ 1/2000, 2: 5: 0 AM,3,3,5,260,400
122, 1/ 1/2000, 2: 6: 0 AM,3,4,7,263,400
123, 1/ 1/2000, 2: 7: 0 AM,1,2,2,270,400
124, 1/ 1/2000, 2: 8: 0 AM,4,4,6,247,400
125, 1/ 1/2000, 2: 9: 0 AM,3,4,4,285,400
126, 1/ 1/2000, 2:10: 0 AM,3,4,4,251,400
127, 1/ 1/2000, 2:11: 0 AM,3,4,4,249,400
128, 1/ 1/2000, 2:12: 0 AM,2,3,5,244,400
129, 1/ 1/2000, 2:13: 0 AM,3,4,4,246,400
130, 1/ 1/2000, 2:14: 0 AM,3,4,4,259,400
131, 1/ 1/2000, 2:15: 0 AM,3,3,3,244,400
132, 1/ 1/2000, 2:16: 0 AM,5,5,10,244,400
133, 1/ 1/2000, 2:17: 0 AM,2,4,4,244,400
134, 1/ 1/2000, 2:18: 0 AM,3,3,3,231,400
135, 1/ 1/2000, 2:19: 0 AM,3,3,3,240,400
136, 1/ 1/2000, 2:20: 0 AM,3,4,8,252,400
137, 1/ 1/2000, 2:21: 0 AM,2,3,5,253,400
138, 1/ 1/2000, 2:22: 0 AM,3,4,4,261,400
139, 1/ 1/2000, 2:23: 0 AM,2,4,6,258,400
140, 1/ 1/2000, 2:24: 0 AM,3,4,7,260,400
141, 1/ 1/2000, 2:25: 0 AM,4,5,6,247,400
142, 1/ 1/2000, 2:26: 0 AM,2,3,3,252,400
143, 1/ 1/2000, 2:27: 0 AM,4,5,7,248,400
144, 1/ 1/2000, 2:28: 0 AM,3,4,4,250,400
145, 1/ 1/2000, 2:29: 0 AM,3,3,3,236,400
146, 1/ 1/2000, 2:30: 0 AM,2,2,2,237,400
147, 1/ 1/2000, 2:31: 0 AM,3,5,5,231,400
148, 1/ 1/2000, 2:32: 0 AM,2,4,4,228,400
149, 1/ 1/2000, 2:33: 0 AM,3,4,4,235,400
150, 1/ 1/2000, 2:34: 0 AM,2,2,4,227,400
151, 1/ 1/2000, 2:35: 0 AM,3,3,4,225,400
152, 1/ 1/2000, 2:36: 0 AM,3,5,5,232,400
153, 1/ 1/2000, 2:37: 0 AM,3,3,3,232,400
154, 1/ 1/2000, 2:38: 0 AM,4,5,5,231,400
155, 1/ 1/2000, 2:39: 0 AM,2,3,3,227,400
156, 1/ 1/2000, 2:40: 0 AM,2,4,6,228,400
157, 1/ 1/2000, 2:41: 0 AM,4,6,9,231,400
158, 1/ 1/2000, 2:42: 0 AM,4,6,6,224,400
159, 1/ 1/2000, 2:43: 0 AM,3,3,3,226,400
160, 1/ 1/2000, 2:44: 0 AM,2,3,6,226,400
161, 1/ 1/2000, 2:45: 0 AM,2,2,2,225,400
162, 1/ 1/2000, 2:46: 0 AM,3,4,5,221,400
163, 1/ 1/2000, 2:47: 0 AM,3,4,4,210,400
164, 1/ 1/2000, 2:48: 0 AM,2,5,5,217,400
165, 1/ 1/2000, 2:49: 0 AM,3,3,3,204,400
166, 1/ 1/2000, 2:50: 0 AM,4,5,7,204,400
167, 1/ 1/2000, 2:51: 0 AM,3,4,4,212,400
168, 1/ 1/2000, 2:52: 0 AM,1,1,1,203,400
169, 1/ 1/2000, 2:53: 0 AM,3,4,4,206,400
170, 1/ 1/2000, 2:54: 0 AM,3,3,3,212,400
171, 1/ 1/2000, 2:55: 0 AM,4,5,5,206,400
172, 1/ 1/2000, 2:56: 0 AM,3,4,4,193,400
173, 1/ 1/2000, 2:57: 0 AM,3,4,6,173,400
174, 1/ 1/2000, 2:58: 0 AM,3,5,7,189,400
175, 1/ 1/2000, 2:59: 0 AM,3,4,4,184,400
176, 1/ 1/2000, 3: 0: 0 AM,2,3,4,185,400
177, 1/ 1/2000, 3: 1: 0 AM,4,5,5,183,400
178, 1/ 1/2000, 3: 2: 0 AM,2,3,3,171,400
179, 1/ 1/2000, 3: 3: 0 AM,4,4,6,174,400
180, 1/ 1/2000, 3: 4: 0 AM,2,3,3,164,400
181, 1/ 1/2000, 3: 5: 0 AM,5,6,6,174,400
182, 1/ 1/2000, 3: 6: 0 AM,3,4,4,178,400
183, 1/ 1/2000, 3: 7: 0 AM,5,7,10,179,400
